,Movie_name,Genre,Director,Writer,Painter,Firm,Type,Color,Runtime,Year
182,Milli bomba,Faciəvi komediya,Vaqif Mustafayev,"Elçin, ,, Vaqif Mustafayev",None,None,tammetrajlı bədii film,rəngli (ağ-qara kadrlarla),104.0,2004
183,Möcüzələr adası,"dram, məhəbbət",Həsən Seyidbəyli,Həsən Seyidbəyli,Elbəy Rzaquliyev,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,69.0,1963
184,Musiqi müəllimi,"komediya, musiqili, məhəbbət, uşaq",Tofiq İsmayılov,"Radi Kuşneroviç, ,, Tofiq İsmayılov",Elbəy Rzaquliyev,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,65.0,1983
185,Müxtəlif sahillərdə,detektiv,Aleksandr Litvinov,"Aleksandr Litvinov, P.Vaynşteyn, İvan Tartakovski","A.Plaksin, Mixail Vlasov",Azdövlətkino,tammetrajlı bədii film,ağ-qara,65.0,None
186,Müqəddəs oda yanaram,dram,"Gülbəniz Əzimzadə, Hafiz Fətullayev",Hafiz Fətullayev,Mayis Ağabəyov,"""AMAfilm"" Kinoşirkəti",tammetrajlı bədii film,rəngli,91.0,1991
187,MÜQƏDDƏS TORPAQ,dram,Şahin Sina,Şahin Sina,Andrey Pastuşenko,None,tammetrajlı bədii film,rəngli,69.0,1992
188,Nabat,dram filmi,Elçin Musaoğlu,"Elxan Nəbiyev, Elçin Musaoğlu",Şahin Həsənli,None,None,rəngli,81.0,2014-cü il
189,Nakəs,dram,Vaqif Mustafayev,"Ramiz Fətəliyev, Vaqif Mustafayev","Rafiq Nəsirov, Nigar Nərimanbəyova",None,tammetrajlı bədii film,rəngli,142.5,1991
190,Nar bağı,dram,İlqar Nəcəf,"İlqar Nəcəf, Asif Rüstəmov, Roelof Jan Minneboo",Rafiq Nəsirov,None,tammetrajlı bədii film,rəngli,1.0,2017
191,Neft və milyonlar səltənətində,dram,Boris Svetlov,"Anna Panova-Potyomkina, [1]",None,"""Filma"" Səhmdar Cəmiyyəti, [1]",tammetrajlı bədii film,ağ-qara,81.0,1916
193,Nəsimi,"dram, tarixi, bioqrafik",Həsən Seyidbəyli,İsa Hüseynov,"Məmməd Hüseynov, Mais Ağabəyov",Azərbaycanfilm,tammetrajlı bədii film,rəngli,96.0,1973
194,Nikita İvanoviç və sosializm,dram,Aleksandr Makovski,"İqor Savçenko, Leonid Perelman, Aleksandr Makovski",Pyotr Beytner,Azərkino,tammetrajlı bədii film,ağ-qara,53.0,None
195,Niyyət,Dram,Samir Kərimoğlu,Yavər Rzayev,Fikrət Ələkbərov,"""Azərbaycanfilm"" kinostudiyası",Tammetrajlı bədii film,Rəngli,81.0,2010
196,NİZAMİ,"tarixi, bioqrafik",Eldar Quliyev,"İsa Hüseynov, ,, Eldar Quliyev",Mayis Ağabəyov,None,tammetrajlı bədii film,rəngli,125.5,1982
197,O dünyadan salam,"dram, faciəvi komediya",Tofiq Tağızadə,Tofiq Tağızadə,"Arif Məhərrəmov, Əziz Məmmədov","""TMT"" Kinoşirkəti",tammetrajlı bədii film,rəngli]],98.0,1991
198,O qızı tapın,"detektiv, döyüş, müəmma, məhəbbət",Həsən Seyidbəyli,Həsən Seyidbəyli,Məmməd Hüseynov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,87.0,1970
199,"O olmasın, bu olsun","komediya, musiqili, məhəbbət",Hüseyn Seyidzadə,Sabit Rəhman,"Cəbrayıl Əzimov, Nadir Zeynalov",Bakı Kinostudiyası,tammetrajlı bədii film,rəngli,87.0,1956
200,Od içində,"dram, tarixi, macəra, məhəbbət",Şamil Mahmudbəyov,Əhmədağa Muğanlı,Kamil Nəcəfzadə,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,65.0,1978
201,On yeddi yaşlı oğlan,"dram, bioqrafik, müharibə",Rüfət Şabanov,"Faiq Ağamalıyev, Vaxa Matiyev, V. Fyodorov",Arif Əbdürrəhmanov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,82.0,1986
202,Onu bağışlamaq olarmı?,"dram, detektiv, cinayət, musiqili, məhəbbət",Rza Təhmasib,Məmmədhüseyn Təhmasib,Nadir Zeynalov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,92.0,1959
203,Onun bəlalı sevgisi,"dram, komediya, məhəbbət",Ziyafət Abbasov,"Bayram Bayramov, , İqor Strekov",Elbəy Rzaquliyev,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,72.5,1980
204,Onun böyük ürəyi,"dram, müharibə",Əjdər İbrahimov,İmran Qasımov,Elbəy Rzaquliyev,Bakı Kinostudiyası,tammetrajlı bədii film,ağ-qara,71.0,1958
206,OVSUNÇU,"dram, döyüş, macəra",Oqtay Mirqasımov,"Natiq Rəsulzadə, ,, Oqtay Mirqasımov, ,, Rüstəm İbrahimbəyov","Rafiz İsmayılov, ,, Rafiq Nəsirov",None,tammetrajlı bədii film,rəngli,97.0,2002
207,Ögey ana,"dram, macəra, uşaq",Həbib İsmayılov,"Həbib İsmayılov, ,, Anna Yan","Elbəy Rzaquliyev, ,, Məmməd Hüseynov",Bakı Kinostudiyası,tammetrajlı bədii film,ağ-qara,81.5,1958
208,Ölsəm... bağışla,"Dram, Məhəbbət",Rasim Ocaqov,Rüstəm İbrahimbəyov,Rafiz İsmayılov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara (rəngli kadrlarla),87.0,1989
209,Ölüm növbəsi,"faciəvi komediya, pritça",Fikrət Əliyev,"Fikrət Əliyev, İlqar Paşayev",Mais Ağabəyov,Sınaq Film Prodüser Mərkəzi,Tammetrajlı Bədii Film,rəngli,76.0,2009
210,Ölümünə bir saat qalmış,dram,Boris Svetlov,None,None,"""Filma"" Səhmdar Cəmiyyəti",qısametrajlı bədii film,ağ-qara,81.0,None
211,Ömrün ilk saatı,dram,Arif Babayev,Ramiz Fətəliyev,Fikrət Bağırov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,95.5,1973
212,Ötən ilin son gecəsi,dram,Gülbəniz Əzimzadə,Anar Rzayev,Mayis Ağabəyov,"""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,rəngli,73.0,1983
213,Özgə ömür,"psixoloji kinodram, məhəbbət",Rasim Ocaqov,Rüstəm İbrahimbəyov,Rafiz İsmayılov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,90.5,1987
214,Özgə vaxt,dram,Hüseyn Mehdiyev,"Ramiz Rövşən, ,, Hüseyn Mehdiyev",Mayis Ağabəyov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara (rəngli kadrlarla),83.0,1996
215,Park,"dram, məhəbbət",Rasim Ocaqov,Rüstəm İbrahimbəyov,Fikrət Bağırov,None,tammetrajlı bədii film,rəngli,77.5,None
216,Pəncərə,"dram, uşaq","Həsən Əbluc, Ənvər Əbluc",İsi Məlikzadə,Rafiq Nəsirov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,82.0,1991
217,Romeo mənim qonşumdur,"komediya, musiqili, məhəbbət",Şamil Mahmudbəyov,"V. Yesman, İosif Prut","Nadir Zeynalov, ,, Cəbrayıl Əzimov","""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,66.0,1963
218,Sahə,"Dram, Müsibət (misteriya), Art-haus",İlqar Safat,İlqar Safat,"Rəna Əffəndi, Törəxanım Ağabəyova",None,tammetrajlı bədii film,rəngli,115.0,2010
219,Sahilsiz gecə,dram,Şahmar Ələkbərov,Elçin,"Elbəy Rzaquliyev, ,, Rafiq Nəsirov","""Azərbaycanfilm"" Kinostudiyası",None,rəngli,65.5,None
220,Sarı gəlin,"dram, macəra, müharibə",Yavər Rzayev,Yavər Rzayev,Rafiq Nəsirov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,84.0,1998
221,Sehrli xalat,"komediya filmi, ,, macəra filmi, ,, fantastika filmi, ,, uşaq filmi, [d]",Əlisəttar Atakişiyev,"Aleksandr Tarasov, Əlisəttar Atakişiyev","Məmməd Hüseynov, Cəbrayıl Əzimov","""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,75.0,1964
224,Sevinc buxtası,"dram, tarixi, məhəbbət",Eldar Quliyev,"Georgi Mdivani, Eldar Quliyev",Rafiz İsmayılov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,133.5,1977
225,Səbuhi,"dram, tarixi, bioqrafiya","Amo Bek-Nazarov, ,, Rza Təhmasib",Mikayıl Rəfili,V. Kaplunovski,Bakı Kinostudiyası,tammetrajlı bədii film,ağ-qara,101.0,1941
226,Səhər,"dram, tarixi",Ağarza Quliyev,Mehdi Hüseyn,Məmməd Hüseynov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,85.0,1960
227,Səmt küləyi,"tarixi, macəra",Eldar Quliyev,"Yusif Səmədoğlu, ,, İrji Marek, ,, Lüdviq Toman","Kamil Nəcəfzadə, ,, Boqumil Pokornı",None,tammetrajlı bədii film,rəngli,95.5,1973
228,Sizi dünyalar qədər sevirdim,"tarixi, döyüş, bioqrafik, müharibə",Rasim İsmayılov,Ramiz Fətəliyev,Nadir Zeynalov,"""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,rəngli,79.0,1985
229,Skripkanın sərgüzəşti,"döyüş, macəra, müharibə, uşaq",Şamil Mahmudbəyov,"Firudin Ağayev, Solomon Rozen",Elbəy Rzaquliyev,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,72.0,1972
230,Son döyüş,"idman, döyüş, macəra, cinayət, triller",Xəyyam Aslan,Xəyyam Aslan,"Rafiz İsmayılov, Fikrət Ələkbərov",None,tammetrajlı bədii film,rəngli,91.0,1996
231,Sualtı qayıq T-9,"macəra, müharibə",Aleksandr İvanov,"Aleksandr Şteyn, İohann Zeltser","Yuri Şvets, Əlisəttar Atakişiyev",Bakı Kinostudiyası,tammetrajlı bədii film,ağ-qara,68.0,1943
232,Sübhün səfiri,"Dram, Tarixi, Bioqrafik",Ramiz Həsənoğlu,Anar,Rafiz İsmayılov,"""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,rəngli,150.0,2012
233,Süd dişinin ağrısı,"dram, məhəbbət, uşaq",Hüseyn Mehdiyev,Ramiz Rövşən,Arif Əbdürrəhmanov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,80.0,1987
234,Sürəyya,dram,Tofiq İsmayılov,Əkrəm Əylisli,Kamil Nəcəfzadə,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,79.0,1987
235,Şahid qız,"detektiv, macəra",Hüseyn Mehdiyev,Hüseyn Mehdiyev,Arif Əbdürrəhmanov,None,tammetrajlı bədii film,rəngli,82.0,1990
236,Şeytan göz qabağında,"macəra, cinayət, müəmma, triller",Oqtay Mirqasımov,Asim Cəlilov,"Elbəy Rzaquliyev, Rafiq Nəsirov","""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,84.0,None
237,ŞƏHƏRLİ BİÇİNÇİLƏR,Dram,"Əbdül Mahmudov, ,, Hüseyn Mehdiyev",Ramiz Rövşən,Fikrət Əhədov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,"rəngli, (ağ-qara kadrlarla)",65.0,None
238,Şərikli çörək,dram,Şamil Mahmudbəyov,Alla Axundova,Fikrət Bağırov,"""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,ağ-qara,68.0,1969
239,Şir evdən getdi,"komediya, macəra, musiqili, uşaq",Rasim İsmayılov,Yuri Yakovlev,Firəngiz Qurbanova,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,126.0,1977
240,Şirbalanın məhəbbəti,"komediya, musiqili, məhəbbət",Cəmil Quliyev,"Zülfüqar Rüfətoğlu, Hacıbaba Bağırov",Mayis Ağabəyov,None,tammetrajlı bədii film,rəngli,81.5,1991
241,Telefonçu qız,"dram, məhəbbət",Həsən Seyidbəyli,"Həsən Seyidbəyli, İsidor Annenski",Elbəy Rzaquliyev,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,75.0,1962
242,Təhminə,Melodram,Rasim Ocaqov,Anar,Rafiz İsmayılov,"""Ocaq"" Müstəqil Studiyası",tammetrajlı bədii film,rəngli,107.5,1993
243,TƏXRİBAT,"dram, döyüş, macəra, müharibə",Eldar Quliyev,"Eldar Quliyev, ,, Ramiz Fətəliyev",Şamil Nəcəfzadə,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,95.0,1990
244,Təkcə adanı özünlə apara bilməzsən...,"dram, uşaq",Gülbəniz Əzimzadə,Nadejda İsmayılova,Mais Ağabəyov,"""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,rəngli,64.0,1980
245,TƏLƏ,"macəra, cinayət, triller",Rasim İsmayılov,Nadejda İsmayılova,Hədis Hacıyev,None,tammetrajlı bədii film,rəngli,97.0,1990
246,Tənha narın nağılı,Dram,"Şamil Mahmudbəyov, ,, Həsənağa Turabov",Roza Hüsnitdinova,Kamil Nəcəfzadə,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,66.0,1984
247,Tərsinə çevrilən dünya,"detektiv, triller",Ənvər Əbluc,Çingiz Abdullayev,Rafis İsmayılov,None,tammetrajlı bədii film,rəngli,89.0,2011
248,Torpaq. Dəniz. Od. Səma,"dram, uşaq",Şamil Mahmudbəyov,Anar Rzayev,Nadir Zeynalov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,67.5,1967
249,Tütək səsi,dram,Rasim Ocaqov,İsa Hüseynov,Elbəy Rzaquliyev,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,82.0,1975
250,Ulduz,"komediya, musiqili, məhəbbət",Ağarza Quliyev,"Ağarza Quliyev, Hüseyn Nəcəfov",Kamil Nəcəfzadə,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,73.0,1964
251,Ulduzlar sönmür,"tarixi, bioqrafik",Əjdər İbrahimov,"İsa Hüseynov, ,, Əjdər İbrahimov",Yevgeni Çernyayev,None,Tammetrajlı bədii film,Rəngli,131.0,1971
252,Uşaqlığın son gecəsi,"dram, komediya, cinayət",Arif Babayev,Maqsud İbrahimbəyov,Elbəy Rzaquliyev,"""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,ağ-qara,89.0,1968
253,Uzaq sahillərdə,"macəra, bioqrafik, müharibə",Tofiq Tağızadə,"İmran Qasımov, ,, Həsən Seyidbəyli","Cəbrayıl Əzimov, ,, Kamil Nəcəfzadə",Bakı Kinostudiyası,tammetrajlı bədii film,ağ-qara,89.0,1958
254,ÜMİD,dram,Gülbəniz Əzimzadə,Orxan Fikrətoğlu,Mayis Ağabəyov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,74.0,1995
255,ÜRƏK... ÜRƏK...,"Dram, Məhəbbət",Eldar Quliyev,Rüstəm İbrahimbəyov,Mais Ağabəyov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,89.5,1976
256,Üzeyir ömrü,"dram, komediya, bioqrafik, musiqili",Anar Rzayev,Anar Rzayev,Rafiz İsmayılov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,163.0,None
257,Üzü küləyə,dram,Əbdül Mahmudov,Oqtay Orucov,Fikrət Əhədov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,69.0,1977
258,"Var olun, qızlar...","dram, məhəbbət",Eldar Quliyev,"Alla Axundova, ,, Hüseyn Seyidzadə",Kamil Nəcəfzadə,"""Azərbaycanfilm"" Kinostudiyası",None,ağ-qara,86.5,None
259,Vulkan üzərində ev,dram,None,None,Aleksandr S. Qonçarski,None,tammetrajlı bədii film,ağ-qara,63.0,None
260,Yalan,"dram, müharibə",Ramiz Əzizbəyli,Orxan Fikrətoğlu,Nizami Bəydəmirov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,90.5,2005
261,Yaramaz,"dram, faciəvi komediya",Vaqif Mustafayev,"Ramiz Fətəliyev, Vaqif Mustafayev","Rafiq Nəsirov, Nazim Hacıyev","""Azərbaycanfilm"" Kinostudiyası",None,rəngli (ağ-qara kadrlarla),90.0,None
262,Yarasa,Dram,Ayaz Salayev,"Ayaz Salayev, ,, Kamal Aslanov",None,"""İnterturan"" Konserni",Tammetrajlı bədii film,Rəngli (ağ-qara kadrlarla),80.0,1995
263,Yarımçıq qalmış mahnı,"dram, musiqili, məhəbbət",Maqsud İbrahimbəyov,Maqsud İbrahimbəyov,Elbəy Rzaquliyev,Azərbaycanfilm,tammetrajlı bədii film,rəngli,81.0,None
264,Yarımçıq xatirələr,"Tarixi, Dram, Döyüş, Müharibə",Elxan Cəfərov,"Konstantin Vorobyov, Yavər Rzayev","Rafiq Nəsirov, Vadim Şafranski","""Azərbaycanfilm"" kinostudiyası",Tammetrajlı bədii film,Rəngli,90.0,2015
265,"Yaşamaq gözəldir, qardaşım!","dram, macəra","Ramiz Əsgərov, , Antonis Voyazos",Leonid Aqranoviç,"Nadir Zeynalov, ,, Fikrət Bağırov","""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,69.0,1966
266,YAY GÜNLƏRİNİN XƏZAN YARPAQLARI,"dram, uşaq",Tofiq İsmayılov,Asim Cəlilov,Nadir Zeynalov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,75.0,1986
267,Yeddi oğul  istərəm...,"dram, döyüş, vestern",Tofiq Tağızadə,Yusif Səmədoğlu,Nadir Zeynalov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,90.0,1970
268,Yeni horizont,dram,"Ağarza Quliyev, Qriqori Braginski",İmran Qasımov,Qasım Səlimxanov,Bakı Kinostudiyası,tammetrajlı bədii film,ağ-qara,83.0,1940
269,Yenilməz batalyon,"dram, tarixi, macəra",Hüseyn Seyidzadə,Qılman Musayev,Nadir Zeynalov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,88.5,None
270,Yol əhvalatı,"komediya, məhəbbət",Teymur Bəkirzadə,Asim Cəlilov,Fikrət Əhədov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,72.0,1980
272,YÜK,"dram, bioqrafik",Rövşən Almuradlı,Şahmar Ələkbərov,"Adil Azay, ,, Rafiq Nəsirov","""Bəri-Bax"" Kinostudiyası",tammetrajlı bədii film,rəngli,77.5,None
273,ZİRZƏMİ,"dram, məhəbbət",Davud İmanov,Dinarə Seyidova,"Mayis Ağabəyov, ,, Rafiq Nəsirov","""Azərbaycanfilm"" Kinostudiyası",None,rəngli,87.0,None
